name,group,Copper_ Cu_mg, Zinc_ Zn_mg, Iron_ Fe_mg, Fiber_ total dietary_g, Energy_kcal, Phosphorus_ P_mg, Calcium_ Ca_mg, Carbohydrate_ by difference_g, Magnesium_ Mg_mg, Manganese_ Mn_mg, Potassium_ K_mg, Protein_g, Sodium_ Na_mg, Vitamin A_ IU_mg, Thiamin_mg, Vitamin B-12_mg, Riboflavin_mg, Niacin_mg, Pantothenic acid_mg, Vitamin B-6_mg, Vitamin B-7_mcg, Vitamin B-9 Folic acid_mcg, Vitamin C_ total ascorbic acid_mg, Vitamin D_mcg, Vitamin E (alpha-tocopherol)_mg, Vitamin K_mcg, Choline_mg,id
KAVUN,ITU,0.09000000357627869, 0.15000000596046448, 0.75, 2.8499999046325684, 48.0, 30.0, 22.5, 11.199999809265137, 16.5, 0.15000000596046448, 405.0, 1.0, 3.0, 0.0, 0.05999999865889549, 0.0, 0.07999999821186066, 0.75, 0.36000001430511475, 0.11999999731779099, 0.0, 7.5, 9.0, 0.0, 0.0, 0.0, 0.0,156
KAYISI,ITU,0.009999999776482582, 0.09000000357627869, 0.03999999910593033, 0.2199999988079071, 46.5, 1.6399999856948853, 1.2000000476837158, 10.800000190734863, 0.9200000166893005, 0.019999999552965164, 7.699999809265137, 1.350000023841858, 0.28999999165534973, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.009999999776482582, 0.0, 0.0, 0.09000000357627869, 0.11999999731779099, 0.0, 0.009999999776482582, 0.0, 0.0,157
KEMALPASžA TATLISI,ITU,0.38999998569488525, 6.869999885559082, 3.75, 0.33000001311302185, 191.67999267578125, 430.1199951171875, 30.459999084472656, 44.029998779296875, 113.87999725341797, 4.940000057220459, 440.5899963378906, 1.8200000524520874, 392.6300048828125, 2.5999999046325684, 0.8299999833106995, 3.319999933242798, 5.960000038146973, 2.0399999618530273, 29.389999389648438, 1.340000033378601, 14.180000305175781, 138.8800048828125, 14.890000343322754, 0.029999999329447746, 10.510000228881836, 0.0, 0.0,158
KISIR,ITU,0.10000000149011612, 2.240000009536743, 2.690000057220459, 8.84000015258789, 185.97999572753906, 187.27999877929688, 51.33000183105469, 19.950000762939453, 36.130001068115234, 0.4099999964237213, 373.32000732421875, 11.350000381469727, 493.6400146484375, 1.559999942779541, 1.2899999618530273, 0.6000000238418579, 0.18000000715255737, 3.319999933242798, 0.44999998807907104, 0.28999999165534973, 0.949999988079071, 62.25, 17.780000686645508, 0.019999999552965164, 3.930000066757202, 0.0, 0.0,159
KIYMALI BEZELYE,ITU,0.14000000059604645, 3.0799999237060547, 2.640000104904175, 2.7300000190734863, 229.77000427246094, 168.50999450683594, 30.280000686645508, 17.299999237060547, 29.450000762939453, 0.23000000417232513, 409.7300109863281, 13.109999656677246, 403.67999267578125, 1.2999999523162842, 0.7200000286102295, 1.2000000476837158, 0.17000000178813934, 3.119999885559082, 0.7400000095367432, 0.23000000417232513, 36.90999984741211, 15.960000038146973, 126.97000122070312, 0.009999999776482582, 5.190000057220459, 0.0, 0.0,160
KIYMALI BIBER DOLMASI,ITU,0.1599999964237213, 1.940000057220459, 2.7899999618530273, 3.9600000381469727, 250.63999938964844, 117.25, 185.6999969482422, 12.15999984741211, 46.369998931884766, 0.2800000011920929, 520.6699829101562, 13.289999961853027, 398.9100036621094, 1.2999999523162842, 0.7599999904632568, 0.5, 0.12999999523162842, 2.299999952316284, 0.4300000071525574, 0.20000000298023224, 0.4399999976158142, 112.08999633789062, 7.949999809265137, 0.009999999776482582, 4.650000095367432, 0.0, 0.0,161
KIYMALI ISPANAK,ITU,0.11999999731779099, 2.309999942779541, 2.0799999237060547, 2.440000057220459, 133.07000732421875, 129.57000732421875, 48.380001068115234, 3.1500000953674316, 29.239999771118164, 0.11999999731779099, 428.42999267578125, 8.779999732971191, 391.32000732421875, 1.2999999523162842, 0.8100000023841858, 0.800000011920929, 0.10999999940395355, 2.430000066757202, 0.46000000834465027, 0.20999999344348907, 1.2999999523162842, 34.630001068115234, 25.219999313354492, 0.009999999776482582, 4.380000114440918, 0.0, 0.0,162
KIYMALI KABAK DOLMASI,ITU,0.09000000357627869, 1.9900000095367432, 2.130000114440918, 5.480000019073486, 206.64999389648438, 144.33999633789062, 99.79000091552734, 11.130000114440918, 24.670000076293945, 0.4000000059604645, 617.969970703125, 9.329999923706055, 394.6600036621094, 1.559999942779541, 0.3100000023841858, 0.6000000238418579, 0.11999999731779099, 2.3399999141693115, 0.5799999833106995, 0.4099999964237213, 0.550000011920929, 139.6300048828125, 89.02999877929688, 0.019999999552965164, 3.4700000286102295, 0.0, 0.0,163
KIYMALI KAPUSKA,ITU,0.09000000357627869, 2.390000104904175, 1.6200000047683716, 2.2899999618530273, 174.32000732421875, 159.1199951171875, 31.079999923706055, 10.020000457763672, 28.209999084472656, 0.28999999165534973, 337.7699890136719, 9.09000015258789, 396.54998779296875, 1.559999942779541, 0.7599999904632568, 0.800000011920929, 0.1599999964237213, 2.450000047683716, 0.7900000214576721, 0.3199999928474426, 1.7000000476837158, 69.61000061035156, 40.41999816894531, 0.019999999552965164, 3.3499999046325684, 0.0, 0.0,164
KIYMALI KARNABAHAR,ITU,0.15000000596046448, 1.690000057220459, 2.009999990463257, 2.2300000190734863, 182.92999267578125, 127.97000122070312, 89.97000122070312, 5.420000076293945, 22.600000381469727, 0.41999998688697815, 198.35000610351562, 11.649999618530273, 649.5900268554688, 171.89999389648438, 0.17000000178813934, 0.5299999713897705, 0.09000000357627869, 2.130000114440918, 0.2800000011920929, 0.15000000596046448, 1.399999976158142, 12.65999984741211, 5.179999828338623, 1.8200000524520874, 3.0199999809265137, 0.0, 0.0,165
KIYMALI MILFOY BOREÄžI,ITU,0.09000000357627869, 2.130000114440918, 2.390000104904175, 3.5, 631.1400146484375, 141.85000610351562, 33.650001525878906, 46.33000183105469, 15.489999771118164, 0.27000001072883606, 462.9700012207031, 10.619999885559082, 389.54998779296875, 1.2999999523162842, 0.38999998569488525, 0.800000011920929, 0.17000000178813934, 2.2799999713897705, 0.4000000059604645, 0.6899999976158142, 2.0299999713897705, 71.44999694824219, 20.799999237060547, 0.009999999776482582, 4.690000057220459, 0.0, 0.0,166
KIYMALI PIRASA,ITU,0.07999999821186066, 2.130000114440918, 2.2799999713897705, 4.070000171661377, 179.0800018310547, 117.94000244140625, 36.34000015258789, 5.480000019073486, 29.389999389648438, 0.28999999165534973, 332.07000732421875, 9.739999771118164, 392.3900146484375, 1.559999942779541, 1.0399999618530273, 0.800000011920929, 0.12999999523162842, 1.899999976158142, 0.33000001311302185, 0.1899999976158142, 1.059999942779541, 56.900001525878906, 13.579999923706055, 0.019999999552965164, 3.9600000381469727, 0.0, 0.0,167
KIYMALI TAZE FASULYE,ITU,0.6700000166893005, 4.230000019073486, 7.710000038146973, 0.23999999463558197, 181.1699981689453, 301.75, 49.29999923706055, 6.179999828338623, 78.6500015258789, 0.8799999952316284, 740.969970703125, 9.520000457763672, 395.1400146484375, 1.2999999523162842, 0.30000001192092896, 0.800000011920929, 0.27000001072883606, 3.200000047683716, 0.27000001072883606, 0.6899999976158142, 0.4300000071525574, 72.79000091552734, 5.150000095367432, 0.009999999776482582, 3.6700000762939453, 0.0, 0.0,168
KIYMALI YESžIL MERCIMEK,ITU,0.4300000071525574, 3.109999895095825, 6.150000095367432, 8.25, 327.5899963378906, 335.1099853515625, 96.2699966430664, 30.3799991607666, 99.26000213623047, 0.019999999552965164, 466.1499938964844, 22.459999084472656, 433.94000244140625, 49.63999938964844, 0.6899999976158142, 0.949999988079071, 1.25, 9.239999771118164, 0.9800000190734863, 0.28999999165534973, 8.199999809265137, 47.95000076293945, 5.659999847412109, 0.30000001192092896, 4.849999904632568, 0.0, 0.0,169
KIYMALI YUFKA BOREÄžI,ITU,0.10999999940395355, 0.15000000596046448, 0.30000001192092896, 2.25, 437.04998779296875, 31.5, 19.5, 55.9900016784668, 15.0, 0.15000000596046448, 315.0, 16.15999984741211, 1.5, 0.0, 0.05000000074505806, 0.0, 0.05000000074505806, 0.30000001192092896, 0.38999998569488525, 0.07999999821186066, 0.6000000238418579, 7.5, 16.5, 0.0, 0.20000000298023224, 0.0, 0.0,170
KIRAZ,ITU,0.20000000298023224, 0.18000000715255737, 0.5400000214576721, 0.0, 72.0, 48.599998474121094, 37.79999923706055, 17.25, 23.399999618530273, 0.18000000715255737, 450.0, 1.350000023841858, 5.400000095367432, 0.0, 0.019999999552965164, 0.0, 0.05000000074505806, 0.5400000214576721, 0.0, 0.23000000417232513, 0.0, 0.0, 91.80000305175781, 0.0, 0.0, 0.0, 0.0,171
KIVI,ITU,0.05999999865889549, 0.18000000715255737, 0.41999998688697815, 0.7200000286102295, 75.5999984741211, 13.199999809265137, 12.0, 16.3799991607666, 6.599999904632568, 0.05999999865889549, 66.0, 1.7999999523162842, 414.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.05999999865889549, 0.0, 0.0, 0.0, 3.5999999046325684, 0.6000000238418579, 0.0, 0.0, 0.0, 0.0,172
KORNISžON TURSžU,ITU,0.2800000011920929, 1.6200000047683716, 1.5499999523162842, 0.18000000715255737, 8.399999618530273, 291.6199951171875, 27.530000686645508, 1.559999942779541, 41.650001525878906, 0.09000000357627869, 485.44000244140625, 0.5400000214576721, 468.80999755859375, 6.329999923706055, 14.960000038146973, 5.610000133514404, 1.0700000524520874, 11.079999923706055, 8.100000381469727, 0.6000000238418579, 3.2300000190734863, 19.770000457763672, 5.630000114440918, 0.0, 19.010000228881836, 0.0, 0.0,173
KORI SOSLU PILIC  SOTE,ITU,8.40999984741211, 0.07000000029802322, 0.5400000214576721, 0.07999999821186066, 278.1199951171875, 8.319999694824219, 9.5600004196167, 3.2899999618530273, 7.449999809265137, 0.03999999910593033, 33.91999816894531, 29.31999969482422, 579.3200073242188, 6.329999923706055, 0.44999998807907104, 5.610000133514404, 12.050000190734863, 1.3700000047683716, 370.4100036621094, 0.009999999776482582, 14.399999618530273, 100.30999755859375, 33.630001068115234, 0.20000000298023224, 13.399999618530273, 0.0, 0.0,174
KORI SOSLU PILIC KAVURMA ,ITU,0.10000000149011612, 0.7599999904632568, 0.44999998807907104, 0.4300000071525574, 420.489990234375, 132.52000427246094, 150.1300048828125, 0.9599999785423279, 26.43000030517578, 0.05999999865889549, 213.25, 24.979999542236328, 93.45999908447266, 69.05000305175781, 0.05999999865889549, 0.47999998927116394, 0.20999999344348907, 0.25999999046325684, 0.4399999976158142, 0.07999999821186066, 2.3399999141693115, 9.90999984741211, 1.2000000476837158, 0.11999999731779099, 0.15000000596046448, 0.0, 0.0,175
KREM SžOKOLA,ITU,0.019999999552965164, 0.15000000596046448, 0.38999998569488525, 0.28999999165534973, 278.3699951171875, 22.8799991607666, 22.530000686645508, 52.650001525878906, 7.309999942779541, 0.09000000357627869, 51.869998931884766, 4.960000038146973, 354.010009765625, 9.449999809265137, 2.490000009536743, 0.009999999776482582, 0.019999999552965164, 0.28999999165534973, 0.029999999329447746, 0.03999999910593033, 0.12999999523162842, 14.770000457763672, 8.829999923706055, 0.0, 4.190000057220459, 0.0, 0.0,176
KREMALI BROKOLI CORBASI,ITU,0.019999999552965164, 0.11999999731779099, 0.3199999928474426, 0.6299999952316284, 109.33999633789062, 19.489999771118164, 19.700000762939453, 6.579999923706055, 4.050000190734863, 0.07999999821186066, 66.97000122070312, 1.4700000286102295, 43.06999969482422, 12.569999694824219, 3.119999885559082, 0.009999999776482582, 0.009999999776482582, 0.3799999952316284, 0.07999999821186066, 0.03999999910593033, 0.3700000047683716, 4.340000152587891, 1.840000033378601, 0.03999999910593033, 5.199999809265137, 0.0, 0.0,177
KREMALI DOMATES  CORBASI,ITU,0.14000000059604645, 0.7099999785423279, 0.75, 2.299999952316284, 141.30999755859375, 85.93000030517578, 17.239999771118164, 9.210000038146973, 27.1299991607666, 0.4099999964237213, 115.19000244140625, 1.3300000429153442, 357.17999267578125, 15.75, 0.09000000357627869, 0.019999999552965164, 0.029999999329447746, 1.3300000429153442, 0.15000000596046448, 0.05000000074505806, 0.5699999928474426, 11.319999694824219, 0.23000000417232513, 0.009999999776482582, 2.990000009536743, 0.0, 0.0,178
KREMALI FESLEÄžENLI MAKARNA,ITU,0.029999999329447746, 0.1599999964237213, 0.4399999976158142, 0.75, 220.9600067138672, 18.68000030517578, 37.029998779296875, 34.560001373291016, 9.359999656677246, 0.07999999821186066, 68.87000274658203, 5.579999923706055, 353.80999755859375, 9.449999809265137, 2.569999933242798, 0.009999999776482582, 0.019999999552965164, 0.28999999165534973, 0.05999999865889549, 0.029999999329447746, 0.15000000596046448, 15.470000267028809, 0.9300000071525574, 0.0, 4.230000019073486, 0.0, 0.0,179
KREMALI ISPANAK CORBASI,ITU,0.11999999731779099, 0.14000000059604645, 0.3199999928474426, 0.6899999976158142, 107.69000244140625, 24.950000762939453, 18.3700008392334, 6.440000057220459, 6.389999866485596, 0.07999999821186066, 66.43000030517578, 1.309999942779541, 352.20001220703125, 9.449999809265137, 3.109999895095825, 0.009999999776482582, 0.05000000074505806, 0.6299999952316284, 0.3199999928474426, 0.03999999910593033, 1.8300000429153442, 8.739999771118164, 0.36000001430511475, 0.0, 4.980000019073486, 0.0, 0.0,180
KREMALI MANTAR CORBASI,ITU,0.20999999344348907, 0.75, 0.8100000023841858, 2.5299999713897705, 147.3800048828125, 93.93000030517578, 17.84000015258789, 7.980000019073486, 28.030000686645508, 0.41999998688697815, 147.19000244140625, 1.2899999618530273, 357.67999267578125, 15.75, 0.10000000149011612, 0.019999999552965164, 0.05999999865889549, 1.649999976158142, 0.3499999940395355, 0.07000000029802322, 1.7699999809265137, 15.720000267028809, 0.33000001311302185, 0.009999999776482582, 3.0, 0.0, 0.0,181
KREMALI MANTARLI FESLEÄžENLI MAKARNA,ITU,0.05999999865889549, 0.23000000417232513, 0.23000000417232513, 0.9100000262260437, 233.9600067138672, 42.79999923706055, 28.110000610351562, 34.599998474121094, 14.760000228881836, 0.07000000029802322, 253.42999267578125, 5.760000228881836, 368.739990234375, 18.809999465942383, 0.10999999940395355, 0.07999999821186066, 0.05000000074505806, 0.30000001192092896, 0.33000001311302185, 0.3199999928474426, 0.6100000143051147, 18.790000915527344, 11.40999984741211, 0.009999999776482582, 1.0499999523162842, 0.0, 0.0,182
